Opportunity_ID;Customer Name;Customer_Segment;Sector;Country;Customer_Status;Annual_Speed;Length_Of_Sales_Cycle;Product_Name;Highest_Contract_Level;Compelling_Event;RFP;Sales_Engineer_Engaged;Services_Included;Customer_Meeting;License;Contacts;Opportunity_Value
PRA94484T SA;Praxis Dr. Rot SA;Enterprise;Construction;China;prospect;Huge;2 Years;Analytics;Manager Level;No;Yes;No;Yes;8;47;102;35000
REM85579G SA;REMA WH Regensburg SA;Enterprise;Manufacturing;France;current customer;Medium;1 Month;Security;C-Level;No;No;No;No;9;235;56;73000
ERN58633G SA;Ernst Brinkmann KG SA;Enterprise;Goods;Japan;prior customer;Huge;6 Months;Analytics;C-Level;Yes;Yes;No;Yes;9;211;41;69000
BUI57648T SA;Builders Depot SA;SMB;Healthcare;North America;prospect;Small;1 Year;Security;Individual Contributor Level;No;No;No;No;29;21;121;27000
CLI18338S SA;Clinton Industries SA;Enterprise;High tech;North America;prior customer;Medium;18 Months;CRM;C-Level;No;Yes;No;No;23;267;51;66000
AME84219Y SA;American Security Company SA;Enterprise;Consumer Product;China;prior customer;Small;1 Year;Database;C-Level;No;Yes;No;Yes;21;90;61;72000
CEN16904M SA;Century Software.Com SA;SMB;Healthcare;Italy;prospect;Large;1 Month;Application Server;Individual Contributor Level;No;No;Yes;Yes;2;79;77;35000
WEB89171O SA;Web Design Studio SA;Enterprise;Goods;France;current customer;Large;1 Year;Application Server;Manager Level;Yes;Yes;No;No;29;128;116;38000
TIT19227G SA;Titan Manufacturing SA;Enterprise;Retail;Germany;prospect;Small;1 Month;ERP;C-Level;No;No;No;Yes;11;294;66;57000
HOL84751S SA;Holden & Associates SA;Enterprise;Construction;Japan;prior customer;Small;1 Year;Identity Server;C-Level;No;Yes;Yes;Yes;23;132;71;48000
MIL24531N SA;Milton & Milton SA;Fortune500;Construction;Japan;current customer;Large;1 Year;Security;C-Level;Yes;No;No;No;17;385;121;189000
BRI97326C SA;Brighton Inc SA;SMB;High tech;Russia;prospect;Huge;2 Years;Portal;Manager Level;No;Yes;No;No;8;99;121;14000
SUN26415C SA;Sunburst Inc SA;Enterprise;Healthcare;Germany;prospect;Big;6 Months;Database;Manager Level;Yes;No;No;Yes;19;69;128;65000
MAT87066X SA;Matrax SA;Enterprise;Finserv;China;prior customer;Large;2 Years;Security;Manager Level;No;Yes;No;Yes;21;193;125;51000
JMA95342T SA;JMart SA;Enterprise;Finserv;Russia;prior customer;Huge;1 Year;Web Server;Manager Level;Yes;Yes;Yes;No;7;245;35;58000
HAL84728G SA;Hall Manufacturing SA;Fortune500;Manufacturing;Germany;prior customer;Small;18 Months;Identity Server;Manager Level;No;No;No;Yes;24;288;25;58000
HEI74910N SA;Heiner Schmidtmann SA;SMB;Goods;North America;current customer;Huge;6 Months;CRM;Manager Level;Yes;Yes;Yes;No;13;47;55;45000
REM127970 SA;Rema Store 1010 SA;Enterprise;Healthcare;Brazil;prior customer;Small;2 Years;Web Server;Individual Contributor Level;No;No;Yes;No;18;66;16;60000
JIM226876 SA;Jim┤s Mart 1026 SA;Enterprise;Apparel;Germany;prior customer;Small;18 Months;Database;C-Level;Yes;No;Yes;No;7;149;136;54000
FRE43650R SA;Fred Miller SA;Enterprise;Manufacturing;Germany;prospect;Medium;1 Year;Analytics;C-Level;Yes;Yes;Yes;No;26;141;36;42000
VNE84458T SA;vNet SA;Enterprise;Finserv;North America;current customer;Large;1 Month;Analytics;Manager Level;Yes;Yes;Yes;Yes;7;50;42;29000
DAT37817. SA;Data Corp. SA;Fortune500;Consumer Product;Japan;prior customer;Big;2 Years;CRM;C-Level;Yes;No;Yes;Yes;22;158;122;48000
SEC24246E SA;Second Source SA;SMB;Consumer Product;China;current customer;Big;6 Months;Identity Server;Individual Contributor Level;Yes;No;Yes;Yes;15;78;127;40000
XNE74083T SA;xNET SA;SMB;High tech;Germany;prospect;Large;18 Months;CRM;Individual Contributor Level;Yes;No;No;Yes;31;60;76;19000
WOR14017. SA;World PC Inc. SA;SMB;Finserv;Russia;current customer;Huge;6 Months;Web Server;Manager Level;No;Yes;No;No;29;52;68;50000
AVN10252S SA;Avnet Electronics SA;Enterprise;Goods;North America;prior customer;Big;1 Year;CRM;C-Level;Yes;Yes;Yes;Yes;20;285;83;61000
BRA89926S SA;Brazil Technologies SA;Enterprise;Healthcare;India;prior customer;Small;1 Year;ERP;C-Level;Yes;No;Yes;Yes;23;268;113;74000
EC 67988S SA;EC Enterprises SA;Enterprise;Finserv;India;current customer;Big;6 Months;Security;C-Level;No;Yes;No;Yes;11;18;102;16000
MIC39984L SA;Microwell SA;SMB;Goods;France;prospect;Big;18 Months;Portal;Individual Contributor Level;No;Yes;No;No;26;87;153;31000
IND94276E SA;Industrie Dynamique SA;Enterprise;Consumer Product;UK;prior customer;Big;1 Year;Analytics;C-Level;No;Yes;No;Yes;13;271;114;74000
ABI38827P SA;Abidon Corp SA;Enterprise;Retail;Brazil;prospect;Big;6 Months;Database;C-Level;No;Yes;Yes;Yes;7;71;122;45000
GRE72061E SA;Greentree Enterprise SA;SMB;Healthcare;Germany;prospect;Large;1 Year;Identity Server;Individual Contributor Level;Yes;No;No;Yes;3;93;153;13000
TIM52451N SA;Timco Corporation SA;SMB;Finserv;China;prior customer;Small;2 Years;Portal;Individual Contributor Level;No;Yes;No;No;8;58;44;13000
RAW44947P SA;Rawlings Group SA;Enterprise;Consumer Product;Russia;prior customer;Small;6 Months;Identity Server;Manager Level;Yes;Yes;Yes;No;24;124;146;41000
LAN43060P SA;Landstar Corp SA;Fortune500;Finserv;UK;current customer;Huge;1 Year;Web Server;C-Level;Yes;No;No;No;34;360;101;139000
TOM10032E SA;Tom Little SA;Enterprise;Construction;Italy;prior customer;Large;1 Year;Security;Individual Contributor Level;Yes;No;No;No;8;82;99;37000
LOR64214R SA;LORI WINTER SA;SMB;Construction;France;current customer;Huge;6 Months;ERP;Individual Contributor Level;Yes;Yes;Yes;Yes;20;148;117;16000
MAR11814G SA;MARIE WITENBURG SA;SMB;Construction;Russia;prospect;Medium;2 Years;Portal;Individual Contributor Level;Yes;Yes;No;Yes;5;42;146;40000
MAR57075K SA;MARIE ZDROK SA;Fortune500;Apparel;Germany;prospect;Small;1 Month;Database;Individual Contributor Level;No;No;Yes;No;2;81;40;18000
LOR50776Y SA;LORI ZINNY SA;Enterprise;High tech;Russia;prior customer;Large;18 Months;Application Server;C-Level;No;Yes;No;No;14;205;85;62000
JAN83738N SA;JANET ZUSSIN SA;Enterprise;Goods;China;prior customer;Big;6 Months;Portal;Manager Level;Yes;Yes;Yes;No;21;228;130;76000
JAN96333O SA;JANE CASTILLO SA;Fortune500;Consumer Product;UK;current customer;Large;1 Year;Database;C-Level;Yes;Yes;Yes;Yes;30;467;90;171000
JAN20517Z SA;JANE SANCHEZ SA;SMB;High tech;Italy;prospect;Huge;18 Months;Portal;Manager Level;Yes;Yes;Yes;Yes;5;125;46;41000
P. 22592R SA;P. Baker SA;SMB;High tech;Germany;current customer;Medium;2 Years;Analytics;C-Level;Yes;No;No;No;23;57;88;33000
ALA64835H SA;ALAN FAITH SA;SMB;Consumer Product;North America;current customer;Medium;2 Years;CRM;Individual Contributor Level;Yes;Yes;No;Yes;10;80;54;16000
ALA40772R SA;ALAN FARRAR SA;Enterprise;Apparel;North America;prior customer;Large;6 Months;Application Server;C-Level;Yes;Yes;No;Yes;11;226;42;37000
JAM72485Y SA;JAMES FERENCY SA;SMB;Construction;UK;current customer;Small;1 Month;CRM;Individual Contributor Level;No;Yes;No;No;26;137;39;12000
BIL30490E SA;BILL FERNANCE SA;Fortune500;Finserv;India;current customer;Big;1 Year;Analytics;C-Level;No;No;No;Yes;46;573;39;133000
BIL61486A SA;BILL FERRARA SA;Fortune500;Manufacturing;Germany;current customer;Large;1 Year;Application Server;C-Level;No;No;No;No;48;402;111;151000
ALA15594R SA;ALAN FINER SA;Enterprise;Consumer Product;Japan;prior customer;Large;2 Years;ERP;C-Level;No;No;Yes;Yes;18;197;125;61000
JAM67020R SA;JAMES GRUPER SA;SMB;Goods;Russia;current customer;Medium;1 Month;Identity Server;Manager Level;Yes;No;No;No;3;76;79;25000
JOH28807S SA;JOHN GRÍNROS SA;Fortune500;Finserv;Germany;current customer;Large;1 Year;Identity Server;C-Level;Yes;No;Yes;No;29;361;49;157000
ALA55068L SA;ALAN GUETTEL SA;Enterprise;Construction;Brazil;current customer;Big;18 Months;Security;Individual Contributor Level;Yes;No;No;Yes;10;85;19;66000
BEN82331R SA;BEN GUIER SA;Enterprise;Finserv;Italy;current customer;Big;18 Months;Portal;Manager Level;Yes;No;No;Yes;27;191;24;70000
ALA92563A SA;ALAN GWARA SA;Fortune500;Construction;India;current customer;Big;1 Year;CRM;C-Level;No;No;Yes;No;24;156;179;160000
MAR79507R SA;Mark Miller SA;Fortune500;Goods;Germany;current customer;Big;1 Year;Identity Server;C-Level;No;No;Yes;No;28;176;98;146000
PET74188N SA;Peter Hoffman SA;SMB;High tech;Russia;prospect;Medium;2 Years;Database;Individual Contributor Level;No;Yes;No;No;3;131;108;49000
SCO53244R SA;Scott Parker SA;SMB;Retail;Japan;prospect;Small;2 Years;Security;Individual Contributor Level;No;Yes;Yes;Yes;17;50;106;50000
TAN48680A SA;Tandra SA;SMB;Goods;Japan;prospect;Medium;6 Months;Portal;Individual Contributor Level;Yes;No;Yes;Yes;28;43;120;23000
PAS34014S SA;Pascal Roberts SA;Enterprise;Consumer Product;China;prior customer;Huge;6 Months;Portal;C-Level;No;Yes;No;No;25;104;40;53000
KIM98149T SA;Kim Possible Inc. - East SA;Fortune500;Finserv;North America;prior customer;Medium;1 Year;Web Server;Manager Level;Yes;Yes;Yes;No;6;54;153;48000
NEL81766 PLC;Nelson Tax & Associates PLC;SMB;Retail;Germany;current customer;Large;1 Month;Database;Individual Contributor Level;No;No;Yes;No;3;40;109;30000
EMM83772 PLC;Emma Bull PLC;SMB;Finserv;Brazil;current customer;Medium;1 Month;Web Server;Individual Contributor Level;Yes;Yes;No;No;30;113;90;24000
JOH21682 PLC;John Evans PLC;Fortune500;Retail;UK;current customer;Large;1 Year;Application Server;C-Level;No;Yes;Yes;No;23;282;107;141000
ROG41343 PLC;Roger Zahn PLC;Fortune500;Healthcare;Germany;current customer;Small;1 Year;Security;C-Level;Yes;Yes;Yes;Yes;22;543;185;166000
ROB46009 PLC;Robert Jensen PLC;SMB;Construction;North America;prior customer;Medium;6 Months;ERP;Individual Contributor Level;No;Yes;Yes;No;26;64;114;44000
CHA81944 PLC;Charles Scott PLC;SMB;Construction;UK;prospect;Large;6 Months;CRM;Individual Contributor Level;No;Yes;Yes;Yes;2;115;54;41000
JOE59903 PLC;Joe Masson PLC;Enterprise;High tech;India;current customer;Medium;1 Year;Security;Individual Contributor Level;No;Yes;No;Yes;20;170;89;56000
TRA76036 PLC;Tracy Collins PLC;Enterprise;High tech;North America;current customer;Large;6 Months;Identity Server;Manager Level;No;Yes;Yes;No;28;276;62;67000
ALE13459 PLC;Alex Lynch PLC;SMB;Construction;Russia;prospect;Small;1 Month;Analytics;Individual Contributor Level;Yes;Yes;Yes;Yes;28;59;142;14000
STE78318 PLC;Steve Martin PLC;Enterprise;Construction;North America;prospect;Huge;6 Months;Web Server;Manager Level;Yes;Yes;Yes;Yes;26;169;104;49000
AGN26993 PLC;Agnes Varda PLC;Enterprise;Retail;France;prior customer;Medium;2 Years;Web Server;C-Level;No;Yes;Yes;No;21;184;132;54000
ALB51364 PLC;Albert Brooks PLC;SMB;Consumer Product;UK;prospect;Big;1 Year;Web Server;Individual Contributor Level;Yes;Yes;No;Yes;17;34;5;11000
EDW51371 PLC;Edward Burns PLC;SMB;Goods;Italy;current customer;Medium;1 Month;Security;Individual Contributor Level;No;No;Yes;No;11;15;114;39000
PET85036 PLC;Peter King PLC;SMB;Construction;North America;current customer;Small;6 Months;ERP;C-Level;Yes;Yes;Yes;No;22;95;103;17000
JAN54830 PLC;Janett Adams PLC;Fortune500;Healthcare;North America;current customer;Big;1 Year;Database;C-Level;Yes;No;No;No;48;573;189;134000
DAV12742 PLC;David Lynch PLC;SMB;Apparel;Germany;prospect;Medium;1 Month;Web Server;Manager Level;Yes;Yes;Yes;Yes;19;62;105;39000
RON45009 PLC;Ronald Bey PLC;Fortune500;High tech;India;current customer;Small;1 Year;Identity Server;C-Level;Yes;No;Yes;Yes;27;469;189;144000
BEC58681 PLC;Becker Berlin PLC;Fortune500;Construction;Russia;current customer;Large;1 Year;Application Server;C-Level;Yes;Yes;Yes;Yes;44;568;164;154000
LAM16967 PLC;Lampen-Markt GmbH PLC;Fortune500;Manufacturing;France;current customer;Huge;1 Year;Database;C-Level;Yes;Yes;No;No;28;247;84;145000
OME42484 PLC;Omega Soft-Hardware Markt PLC;Fortune500;Finserv;India;current customer;Small;1 Year;Database;C-Level;No;Yes;No;Yes;36;537;109;178000
AUT92450 PLC;Autohaus Franzl GmbH PLC;Fortune500;Manufacturing;Russia;current customer;Big;1 Year;Portal;C-Level;Yes;No;No;No;36;229;34;145000
INS97285 PLC;Institut fuer Umweltforschung PLC;SMB;Goods;Italy;prospect;Large;2 Years;Identity Server;Individual Contributor Level;Yes;Yes;Yes;No;6;82;26;46000
KAR50562 PLC;Karsson High Tech Markt PLC;Fortune500;Manufacturing;North America;current customer;Huge;1 Year;Analytics;C-Level;No;No;Yes;Yes;27;257;55;144000
ERL68360 PLC;ERL Freiburg PLC;Fortune500;Apparel;UK;current customer;Small;1 Year;Portal;C-Level;Yes;No;Yes;Yes;28;523;46;130000
HIT74147 PLC;Hitech AG PLC;Enterprise;Healthcare;UK;prospect;Big;6 Months;Security;C-Level;Yes;Yes;No;Yes;7;148;120;58000
CBD10428 PLC;CBD Computer Based Design PLC;Fortune500;Manufacturing;Russia;current customer;Large;1 Year;ERP;C-Level;No;Yes;Yes;Yes;42;234;114;166000
MOT55876 PLC;Motomarkt Stuttgart GmbH PLC;Fortune500;Construction;North America;current customer;Huge;1 Year;Application Server;C-Level;No;Yes;Yes;No;47;293;170;163000
ELE33419 PLC;Elektromarkt Bamby PLC;SMB;Apparel;North America;prospect;Huge;18 Months;Database;Manager Level;No;Yes;Yes;Yes;29;49;137;43000
COM77116 PLC;Computer Competence Center PLC;SMB;Manufacturing;France;current customer;Small;1 Month;Database;Manager Level;No;Yes;Yes;Yes;12;63;26;16000
MIN38267 PLC;Minerva Energieversorgung GmbH PLC;SMB;Finserv;Japan;current customer;Small;1 Month;CRM;Individual Contributor Level;Yes;Yes;Yes;No;24;113;118;48000
LCH20986 PLC;LCH Markt PLC;SMB;Healthcare;China;prospect;Huge;6 Months;Security;C-Level;No;No;Yes;No;22;128;68;16000
CHR14995 PLC;Christal Clear PLC;Fortune500;Apparel;China;prior customer;Large;1 Year;Database;Individual Contributor Level;Yes;No;Yes;No;17;241;67;68000
BEC94947 PLC;Becker Koeln PLC;SMB;Manufacturing;UK;prospect;Medium;2 Years;Identity Server;Individual Contributor Level;No;No;No;Yes;20;22;46;24000
BEC19609 PLC;Becker Stuttgart PLC;SMB;Finserv;India;prior customer;Medium;1 Year;Application Server;Manager Level;Yes;Yes;No;Yes;17;116;25;52000
AMA63600 PLC;Amadeus PLC;SMB;Retail;UK;prospect;Small;1 Month;CRM;Individual Contributor Level;No;Yes;No;No;8;42;133;43000
TEC10876 PLC;Technik und Systeme GmbH PLC;SMB;Construction;UK;prospect;Big;18 Months;Web Server;Individual Contributor Level;No;Yes;No;No;12;44;54;24000
A.I46350 PLC;A.I.T. GmbH PLC;Enterprise;Apparel;France;prior customer;Medium;6 Months;Portal;C-Level;No;Yes;Yes;No;24;226;22;52000
PIL24765 PLC;PILAR am Neckar PLC;SMB;Manufacturing;France;prior customer;Big;6 Months;Database;C-Level;Yes;Yes;No;Yes;20;175;136;61000
SOC57013 PLC;Societe Chimique Picardie SA PLC;Enterprise;Goods;Germany;prior customer;Medium;18 Months;Identity Server;Manager Level;Yes;No;No;Yes;17;110;68;46000
GEN84593 PLC;General Distributors Inc PLC;SMB;Retail;Germany;prospect;Large;1 Month;CRM;Manager Level;Yes;No;Yes;No;19;48;147;17000
GEN39163 PLC;General Distributors GmbH PLC;SMB;Apparel;Japan;prospect;Medium;18 Months;CRM;Manager Level;No;No;Yes;Yes;23;139;32;37000
GEN46090 PLC;General Distributors Inc. PLC;Enterprise;Manufacturing;North America;current customer;Large;2 Years;Identity Server;C-Level;No;No;No;Yes;26;109;7;72000
C.A73139 PLC;C.A.S. Computer Application Systems PLC;Fortune500;Retail;Germany;current customer;Large;1 Year;Application Server;C-Level;Yes;No;Yes;No;39;508;45;152000
AIR52341 PLC;Aircraft Products PLC;Fortune500;Consumer Product;Germany;current customer;Big;1 Year;Database;C-Level;Yes;No;No;No;30;231;109;167000
TAL79627 PLC;TALPA GmbH PLC;SMB;Consumer Product;India;prospect;Medium;6 Months;Analytics;C-Level;No;No;No;Yes;4;16;135;15000
COM27176 PLC;CompSmart Inc. PLC;Enterprise;Healthcare;Japan;prior customer;Large;6 Months;CRM;C-Level;No;No;No;No;23;188;41;61000
J &92013 PLC;J & P PLC;Enterprise;Retail;Italy;prior customer;Huge;1 Year;ERP;Manager Level;Yes;Yes;No;Yes;24;115;75;67000
MOT85708 PLC;Motor Sports PLC;Enterprise;Retail;India;prospect;Big;6 Months;CRM;Manager Level;No;No;No;Yes;18;55;119;75000
CAR77480 PLC;Caribbean Computer Supply Corp PLC;Fortune500;Apparel;Russia;current customer;Large;1 Year;Security;C-Level;Yes;No;Yes;No;16;484;29;183000
MAN43316 PLC;Mansur Computers. Inc. PLC;Fortune500;Goods;North America;prospect;Large;6 Months;Database;Individual Contributor Level;Yes;No;Yes;Yes;10;85;113;37000
CAR79654 PLC;Carbor GmbH PLC;Enterprise;Retail;China;prior customer;Big;18 Months;Identity Server;C-Level;No;Yes;Yes;Yes;6;52;95;38000
SAP69888 PLC;SAPSOTA AG PLC;Fortune500;Retail;Japan;current customer;Medium;1 Year;Web Server;C-Level;Yes;No;Yes;No;41;473;26;135000
SUD65315 PLC;SudaTech GmbH PLC;SMB;Goods;Russia;current customer;Small;6 Months;CRM;Manager Level;Yes;Yes;Yes;No;14;133;67;47000
ETE11477 PLC;Etelko Textilien PLC;Fortune500;Goods;Japan;current customer;Big;1 Year;Portal;C-Level;Yes;No;Yes;Yes;45;244;26;128000
COM30383 PLC;COMPU Tech. AG PLC;Enterprise;Construction;China;prior customer;Medium;6 Months;ERP;C-Level;No;Yes;No;No;26;271;99;44000
N.I60120 PLC;N.I.C. High Tech PLC;SMB;Goods;UK;prospect;Huge;6 Months;Database;C-Level;No;No;No;Yes;27;56;57;50000
JAS95672 PLC;Jaspers Computers PLC;Enterprise;Healthcare;India;current customer;Huge;18 Months;CRM;C-Level;Yes;Yes;No;No;24;115;68;44000
COM58229 PLC;CompuMax GmbH PLC;SMB;Apparel;North America;prospect;Large;2 Years;ERP;Manager Level;No;Yes;Yes;Yes;4;93;43;41000
PC-47993 PLC;PC-World Stuttgart KG PLC;Fortune500;Healthcare;Germany;current customer;Large;1 Year;Identity Server;C-Level;Yes;No;Yes;No;27;441;110;127000
ALP10996 PLC;Alpha-Systems GmbH PLC;Enterprise;Healthcare;Russia;current customer;Big;6 Months;Portal;C-Level;Yes;No;No;Yes;27;273;56;48000
S.C61430 PLC;S.C.T. Electro PLC;Enterprise;Construction;Russia;prior customer;Large;1 Month;Analytics;Manager Level;Yes;Yes;Yes;Yes;13;131;22;26000
BIT38078 PLC;Bit Market PLC;SMB;Goods;Italy;prior customer;Small;6 Months;Identity Server;Individual Contributor Level;Yes;Yes;Yes;Yes;3;146;146;11000
HTG61152 PLC;HTG Komponente GmbH PLC;Fortune500;Finserv;Italy;current customer;Big;1 Year;CRM;C-Level;Yes;No;Yes;Yes;33;197;75;174000
MOT66672 PLC;Motomarkt Heidelberg GmbH PLC;Enterprise;Finserv;China;prior customer;Large;1 Month;ERP;Manager Level;Yes;Yes;Yes;Yes;15;146;123;56000
JAS15140 PLC;Jashanmal International Trading Co PLC;Enterprise;Consumer Product;Japan;prior customer;Big;1 Month;Web Server;Individual Contributor Level;Yes;No;Yes;Yes;28;182;36;44000
ADE93537 PLC;Adecom SA PLC;SMB;Healthcare;UK;prior customer;Medium;6 Months;Analytics;Manager Level;Yes;No;No;No;13;220;7;42000
BER75756 PLC;Bernardin SA PLC;Enterprise;Healthcare;India;prior customer;Huge;2 Years;ERP;C-Level;Yes;Yes;No;Yes;9;171;83;53000
MIL10847 PLC;Miller & Son Trading Ltd. PLC;Enterprise;Finserv;Russia;current customer;Huge;1 Month;Web Server;C-Level;No;No;Yes;Yes;11;276;10;55000
NOR60636 PLC;Norwegian Import & Export Group PLC;Fortune500;Manufacturing;France;current customer;Medium;1 Year;Analytics;C-Level;No;No;No;Yes;48;342;31;126000
THO99058 PLC;Thomas Bush Inc. PLC;Fortune500;High tech;UK;current customer;Medium;1 Year;Application Server;C-Level;Yes;Yes;No;Yes;42;511;107;147000
IND84643 PLC;Industrial Supplies Inc. PLC;Enterprise;Construction;Germany;current customer;Huge;1 Year;Security;C-Level;Yes;No;No;Yes;23;86;46;61000
LIV42103 PLC;Live Insurance Inc. PLC;Enterprise;Retail;China;prior customer;Huge;18 Months;Security;Manager Level;No;Yes;Yes;No;5;249;10;48000
DAV12421 PLC;Davis Integration System PLC;Enterprise;Manufacturing;China;prior customer;Small;1 Year;Security;C-Level;No;Yes;Yes;Yes;15;259;8;66000
INS58094 PLC;Insurance Company PLC;Enterprise;Goods;North America;prior customer;Medium;1 Year;Database;Manager Level;Yes;No;Yes;No;22;91;31;45000
CAN32743 PLC;Candid International Technology PLC;SMB;High tech;India;prospect;Small;6 Months;Application Server;C-Level;Yes;Yes;Yes;No;24;45;21;18000
C-T13109 PLC;C-Tech Corp PLC;SMB;Construction;Brazil;prospect;Big;1 Month;Application Server;C-Level;No;Yes;No;No;4;138;26;49000
MAF35257 PLC;Mafor Software Service Corp. PLC;Fortune500;High tech;China;current customer;Medium;1 Year;ERP;C-Level;Yes;No;Yes;No;40;513;66;150000
CRO35222 PLC;Cross Worlds Consulting PLC;SMB;Healthcare;Russia;prior customer;Medium;2 Years;Identity Server;Individual Contributor Level;No;Yes;Yes;No;2;120;90;33000
AND85050 PLC;Andyna and Dynana Laboratories Inc PLC;Enterprise;Consumer Product;Germany;prior customer;Big;1 Year;Web Server;Manager Level;No;Yes;Yes;Yes;27;105;145;34000
DEP65873 PLC;Department of Defense PLC;Fortune500;Apparel;China;current customer;Small;1 Year;Application Server;C-Level;Yes;No;Yes;No;26;328;97;138000
PAL69430 PLC;Palo Alto Airways Inc. PLC;Fortune500;Goods;China;current customer;Huge;1 Year;Application Server;C-Level;Yes;No;No;Yes;27;359;168;107000
HOT86811 PLC;Hotel Alfonso Del Vida PLC;SMB;Consumer Product;India;prospect;Large;1 Year;CRM;Manager Level;No;No;Yes;No;6;43;79;48000
LA 72367 PLC;La Quinta Hotel & Towers PLC;SMB;High tech;India;prior customer;Huge;1 Year;ERP;Manager Level;No;No;No;No;24;15;55;42000
ROG75634 PLC;Rogier Golf Resort YY PLC;SMB;Healthcare;UK;prospect;Huge;1 Month;Portal;Manager Level;Yes;No;Yes;No;23;83;136;16000
MED58362 PLC;Media Store PLC;Enterprise;Apparel;North America;prior customer;Small;6 Months;Analytics;C-Level;Yes;Yes;No;No;7;152;26;55000
ADC62590 PLC;ADCOM COMPUTER PLC;Enterprise;Goods;Brazil;current customer;Big;1 Year;Analytics;C-Level;Yes;Yes;Yes;No;27;270;70;61000
ALP48291 PLC;ALPHA Center PLC;Enterprise;Healthcare;India;prior customer;Large;6 Months;Analytics;C-Level;No;No;No;No;15;260;5;70000
TID12516 PLC;Tidemann Electronics PLC;SMB;Retail;North America;current customer;Large;1 Year;Portal;C-Level;No;Yes;Yes;No;20;565;80;131000
KET12584 PLC;Ketiv Technologies PLC;SMB;Retail;China;current customer;Large;1 Year;Analytics;C-Level;No;Yes;No;Yes;38;279;177;172000
TOR93147 PLC;Tornado Motorsport PLC;Fortune500;Goods;France;current customer;Medium;1 Year;Database;C-Level;Yes;No;No;Yes;20;507;71;156000
HOT62445 PLC;Hotshot Racing PLC;SMB;Retail;China;prospect;Large;1 Month;Identity Server;Manager Level;Yes;Yes;No;Yes;22;60;40;40000
TOR54748 PLC;Tornado Motorsports PLC;SMB;Retail;India;prior customer;Huge;18 Months;Database;Manager Level;No;Yes;Yes;Yes;25;26;12;30000
COM77457 PLC;Computer Specialists Inc. PLC;Enterprise;Construction;Brazil;current customer;Large;1 Year;CRM;C-Level;No;No;No;No;14;162;145;73000
LES61996 PLC;LES Sales Company PLC;Enterprise;Manufacturing;India;prior customer;Large;1 Year;Database;Individual Contributor Level;No;No;No;Yes;15;82;88;55000
PH 10764 PLC;PH Monitor Corporation PLC;Enterprise;Goods;France;prior customer;Large;2 Years;ERP;Manager Level;No;Yes;No;No;18;94;59;50000
CCS38603 PLC;CCS Industrial PLC;Fortune500;Consumer Product;Russia;prior customer;Big;1 Month;Analytics;C-Level;No;Yes;Yes;Yes;18;103;121;42000
NOR91820 PLC;North Energy Ltd PLC;SMB;Apparel;Brazil;prospect;Small;1 Year;Web Server;Individual Contributor Level;No;No;No;No;31;81;71;28000
WAL74174 PLC;Wallace Distribution PLC;Enterprise;Retail;Italy;prospect;Large;1 Month;Database;Individual Contributor Level;Yes;Yes;Yes;Yes;8;77;100;44000
POW87318 PLC;Powers & Company PLC;SMB;Retail;India;prior customer;Medium;18 Months;CRM;Individual Contributor Level;No;No;Yes;Yes;12;147;152;34000
THO67506 PLC;Thomas World Distribution PLC;SMB;High tech;North America;prospect;Huge;1 Month;Web Server;Individual Contributor Level;Yes;No;Yes;No;23;82;49;50000
COM75162 PLC;Company World Incorporated PLC;Fortune500;Healthcare;India;current customer;Huge;1 Year;CRM;C-Level;No;No;No;Yes;45;498;72;120000
COM14130 PLC;Compu Tech PLC;Enterprise;Goods;India;prior customer;Small;1 Month;Application Server;Manager Level;Yes;Yes;No;Yes;22;134;12;40000
ALE38766 PLC;Alexander Inc. PLC;SMB;Consumer Product;Italy;prospect;Medium;1 Month;Database;C-Level;No;Yes;No;Yes;14;123;123;25000
KAR33073 PLC;Karl Smith PLC;Fortune500;Retail;Germany;current customer;Medium;1 Year;CRM;C-Level;Yes;Yes;No;No;40;384;200;165000
RIW99811 PLC;RIWA Headquarters PLC;Enterprise;Healthcare;UK;prior customer;Medium;18 Months;Security;Manager Level;Yes;No;No;No;22;82;85;74000
RIW86634 PLC;RIWA Regional Storage Trenton PLC;Enterprise;Apparel;Russia;current customer;Medium;1 Year;ERP;C-Level;Yes;No;No;No;27;273;45;60000
RIW32381 PLC;RIWA Regional Warehouse Denver PLC;Enterprise;Goods;Italy;prior customer;Large;1 Year;Application Server;C-Level;No;No;Yes;No;17;111;13;61000
INU82331 PLC;Inustrias Pacificas S.A. PLC;SMB;Goods;Russia;prospect;Small;6 Months;Security;Manager Level;No;No;Yes;Yes;12;140;48;45000
FLA29244 PLC;Flatter & Asche AG PLC;Enterprise;Consumer Product;China;prior customer;Small;2 Years;Portal;C-Level;Yes;No;Yes;No;10;289;136;60000
AND80694 PLC;Andrew Sands PLC;Enterprise;Finserv;Japan;current customer;Small;18 Months;Security;C-Level;Yes;No;Yes;Yes;14;198;96;64000
JOH71329 PLC;John Taylor PLC;Enterprise;Apparel;China;current customer;Medium;1 Year;CRM;C-Level;No;No;Yes;No;17;224;128;63000
ZUB35401 PLC;Zuber AG PLC;SMB;Retail;China;prospect;Large;2 Years;Web Server;Individual Contributor Level;No;No;Yes;No;4;26;90;29000
